,0
1173,ENSG00000088826
1174,ENSG00000136688
1175,ENSG00000139190
1176,ENSG00000136404
1177,ENSG00000165105
1178,ENSG00000270379
1179,ENSG00000162981
1180,ENSG00000196754
1181,ENSG00000185015
1182,ENSG00000196739
1183,ENSG00000154274
1184,ENSG00000077458
1185,ENSG00000205307
1186,ENSG00000152404
1187,ENSG00000135828
1188,ENSG00000138834
1189,ENSG00000165084
1190,ENSG00000153094
1191,ENSG00000143333
1192,ENSG00000144655
1193,ENSG00000149177
1194,ENSG00000142871
1195,ENSG00000159086
1196,ENSG00000198719
1197,ENSG00000185507
1198,ENSG00000187764
1199,ENSG00000071073
1200,ENSG00000085117
1201,ENSG00000092529
1202,ENSG00000117143
1203,ENSG00000009413
1204,ENSG00000122299
1205,ENSG00000104856
1206,ENSG00000127586
1207,ENSG00000221931
1208,ENSG00000165684
1209,ENSG00000168010
1210,ENSG00000112149
1211,ENSG00000006747
1212,ENSG00000130584
1213,ENSG00000056972
1214,ENSG00000169249
1215,ENSG00000171940
1216,ENSG00000156030
1217,ENSG00000065882
1218,ENSG00000229474
1219,ENSG00000170881
1220,ENSG00000170873
1221,ENSG00000069020
1222,ENSG00000184402
1223,ENSG00000179361
1224,ENSG00000185668
1225,ENSG00000100601
1226,ENSG00000104859
1227,ENSG00000206579
1228,ENSG00000104635
1229,ENSG00000148057
1230,ENSG00000184811
1231,ENSG00000163568
1232,ENSG00000136750
1233,ENSG00000173627
1234,ENSG00000119280
1235,ENSG00000079931
1236,ENSG00000125733
1237,ENSG00000131203
1238,ENSG00000166920
1239,ENSG00000213265
1240,ENSG00000172324
1241,ENSG00000242715
1242,ENSG00000075073
1243,ENSG00000100429
1244,ENSG00000122644
1245,ENSG00000185482
1246,ENSG00000136826
